"gara_id","application_name","author_id","builder_id","contractor_id","designer_id","engine_id","manager_id","status","decision_date","region_name","city_id","type","turn","network","period_month","start_date","end_date","class","flat_area","build_qty","build_floor","build_area","com_area","park_area","flat_qty","com_qty","park_qty","flat_onerm","flat_tworm","flat_threerm","flat_fourrm","cost_plan","flat_msprice","build_mscost","flat_mscost","com_msprice","park_price","self_cost","unfin_cost","share_cost","warr_cost","comm_cost","cost_official","flat_inner","flat_height","dpg_date","dpg_num","dpg_add_num","dpg_num_text","prolongation","update_date","state_id","create_date","annul_date","state_name"
"109",NULL,"061140004198","170140020417","970640006196","061140004198","130440013597","210340007942","Действующий","2021-06-04","г. Алматы ","18194","Стандартный","4","Строительство ИКИ за счет собственных средств УК","18.0","2021-04-01","2023-03-30","4","16389.9","5.0","3, 12, 16","22319","805.7","0","292","7","0","145","56","91","0","5242062903","319835",NULL,"226683","370000",NULL,"524206290.3","47390098","100","51946728","1458500","5242062903","черновая","3","2021-06-17","69","0","ДПГ-21-02-025/069","1.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"71",NULL,"050240018226","051040013647","991240008188","050240018226","060140016555","200740008567","Действующий","2021-06-28","г. Алматы ","18194","Стандартный","1","Проект на ИКИ разработан, строительство за счет средств Застройщика","9.0","2021-06-01","2022-12-15","4","8674.1","2.0","9","12354.79","84.2","0","143","0","0","72","36","35","0","2785752420","320000",NULL,"225480",NULL,NULL,"278575242","15250000","500000","27705024","1458500","2785752420","чистовая","2.7","2021-07-12","71","0","ДПГ-21-02-011/071","3.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"177",NULL,"070640021046","170140020417","050240020654","070640021046","130440013597","210440020428","Действующий","2021-07-01","г. Алматы ","18194","Стандартный","2","Строительство ИКИ и благоустройства за счет собственных средств УК ","21.0","2021-05-25","2023-02-25","4","15261.71","1.0","17","21860.5","911.39","0","237","6","0","93","95","49","0","5041329922","330325",NULL,"230614","465000",NULL,"504132992","52943499","291700","49883864","1458500","5041329922","улучшенная черновая","2.7","2021-07-15","73","0","ДПГ-21-02-025/073",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"194",NULL,"070640021046","110640013302","050240020654",NULL,"130440013597","161040016763","Завершенный","2021-01-14","г. Алматы ","18194","Стандартный","1",NULL,"19.0","2020-10-07","2022-08-12","4","15350.64","4.0","12","21624.98","1189.22","6531.32","198","8","178","88","44","44","22","7334042282","419444",NULL,"339147","450000","2500000","733404228","214647711","220000","71193946","1389000","7334042282","черновая","2.7","2021-02-17","50","0","ДПГ-21-02-022/050","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"161",NULL,"030340014828","160640016168","060540017250",NULL,"110940004909","200440009039","Завершенный","2021-07-14","г. Алматы ","18194","Стандартный","1-11","Строительство ИКИ будет произведено за счет средств УК с последующим получением гарантии ЕО","7.0","2021-06-08","2021-12-28","4","42093.4","11.0","9","55984.28","0","0","756","0","0","378","279","99","0","4706806971","356803",NULL,"84075",NULL,NULL,"470680697",NULL,"10000","47068070","1458500","4706806971","черновая","2.7","2021-07-26","75","0","ДПГ-21-02-020/075","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"178",NULL,"090240013926","030740000258","030740000258","090240013926","050540005384","071240012104","Завершенный","2019-07-19","г. Астана","18178","Стандартный","1",NULL,"18.0","2019-06-17","2020-11-26","4","9382.83","1.0","7","15344.61","0","5931.78","108","0","349","54","30","24","0","3019265161","295000",NULL,"196764",NULL,"2500000","452889774","505621553","109200","50272872","1262500","3019265161",NULL,NULL,"2019-07-31","18","0","ДПГ-19-01-010/018","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"120",NULL,"090340019334","121240010070","091240000421","090340019334",NULL,"100740015241","Действующий","2023-01-13","г. Астана","18178","Стандартный",NULL,NULL,"16.0","2022-11-30","2024-03-30","4","17064.44","5.0","12","30385.95","1435.64","2985.85","295","16","88","125","140","30",NULL,"6548335303","393237",NULL,"215505","500000","2060795","77249682","44572325","141300","61057630",NULL,"6548335303",NULL,"3","2023-02-02","129","0","ДПГ-23-01-029/129",NULL,"2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"9",NULL,"000140004441","110540015593","100640016266","000140004441","130440013597","170340033307","Завершенный","2019-02-19","г. Астана","18178","Стандартный","1","Проект о строительстве наружных инженерный сетей","23.0","2018-12-07","2019-12-25","4","13573.51","1.0","12, 9, 9, 9, 12 ","21443","1804.63","0","277","0","0",NULL,NULL,NULL,NULL,"4220953472","315720",NULL,"184730",NULL,NULL,"396115270","239450000","50800425","79630069","1262500","4220953472",NULL,NULL,"2019-02-22","15","1","доп.согл.№1 к 
ДПГ-19-01-008/015","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"27",NULL,"530305300117","040540018865","080340001697","060640004014","120840001080","190940031752","Завершенный","2020-12-10","г. Астана","18178","Стандартный",NULL,"Строительство наружных инженерных сетей Проект на ИКИ разработан и планируется строительство за счет средств Застройщика","18.0","2020-09-22","2021-06-29","4","7630.84","2.0","12","13898.8","1200","1490","126","5","88","42","40","39","5","2855648417","243300",NULL,"205460","300000","600000","428347263","1222640477","876385","16330080","1389000","2855648417","черновая","3","2021-01-13","49","0","ДПГ-20-01-002/049","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"172",NULL,"000540001174","960340000376","050140024099","000540001174","120840001080","180540027976","Завершенный","2021-02-05","г. Астана","18178","Стандартный","3",NULL,"20.0","2020-05-13","2021-12-27","4","9003","1.0","7","16551","1560.8","0","144","11","0","54","72","18","0","2435069335","310000",NULL,"147125","360000",NULL,"365260400","328876000","308425","21061933","1458500","2435069335","чистовая","3.3","2021-03-01","53","0","ДПГ-21-01-001/053","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
